Dia,Tratamiento,Peso_g,Peso_Anterior_g,Ganancia_Peso_g,Peso_Inicial_Promedio_g,Peso_Final_Promedio_g,Conversion_Alimenticia_Global
1,T0R1,45,,,39.4,3363.45,1.739702283014571
1,T0R1,100,45.0,55.0,39.4,3363.45,1.739702283014571
1,T0R1,335,100.0,235.0,39.4,3363.45,1.739702283014571
1,T0R1,725,335.0,390.0,39.4,3363.45,1.739702283014571
1,T0R1,1250,725.0,525.0,39.4,3363.45,1.739702283014571
1,T0R1,1740,1250.0,490.0,39.4,3363.45,1.739702283014571
1,T0R1,2380,1740.0,640.0,39.4,3363.45,1.739702283014571
1,T0R1,3305,2380.0,925.0,39.4,3363.45,1.739702283014571
2,T0R1,40,3305.0,-3265.0,39.4,3363.45,1.739702283014571
2,T0R1,100,40.0,60.0,39.4,3363.45,1.739702283014571
2,T0R1,345,100.0,245.0,39.4,3363.45,1.739702283014571
2,T0R1,805,345.0,460.0,39.4,3363.45,1.739702283014571
2,T0R1,1300,805.0,495.0,39.4,3363.45,1.739702283014571
2,T0R1,1780,1300.0,480.0,39.4,3363.45,1.739702283014571
2,T0R1,2370,1780.0,590.0,39.4,3363.45,1.739702283014571
2,T0R1,3340,2370.0,970.0,39.4,3363.45,1.739702283014571
3,T0R1,40,3340.0,-3300.0,39.4,3363.45,1.739702283014571
3,T0R1,100,40.0,60.0,39.4,3363.45,1.739702283014571
3,T0R1,335,100.0,235.0,39.4,3363.45,1.739702283014571
3,T0R1,765,335.0,430.0,39.4,3363.45,1.739702283014571
3,T0R1,1285,765.0,520.0,39.4,3363.45,1.739702283014571
3,T0R1,1730,1285.0,445.0,39.4,3363.45,1.739702283014571
3,T0R1,2525,1730.0,795.0,39.4,3363.45,1.739702283014571
3,T0R1,3405,2525.0,880.0,39.4,3363.45,1.739702283014571
4,T0R1,35,3405.0,-3370.0,39.4,3363.45,1.739702283014571
4,T0R1,100,35.0,65.0,39.4,3363.45,1.739702283014571
4,T0R1,370,100.0,270.0,39.4,3363.45,1.739702283014571
4,T0R1,740,370.0,370.0,39.4,3363.45,1.739702283014571
4,T0R1,1255,740.0,515.0,39.4,3363.45,1.739702283014571
4,T0R1,1800,1255.0,545.0,39.4,3363.45,1.739702283014571
4,T0R1,2310,1800.0,510.0,39.4,3363.45,1.739702283014571
4,T0R1,3335,2310.0,1025.0,39.4,3363.45,1.739702283014571
5,T0R1,35,3335.0,-3300.0,39.4,3363.45,1.739702283014571
5,T0R1,120,35.0,85.0,39.4,3363.45,1.739702283014571
5,T0R1,360,120.0,240.0,39.4,3363.45,1.739702283014571
5,T0R1,770,360.0,410.0,39.4,3363.45,1.739702283014571
5,T0R1,1260,770.0,490.0,39.4,3363.45,1.739702283014571
5,T0R1,1720,1260.0,460.0,39.4,3363.45,1.739702283014571
5,T0R1,2370,1720.0,650.0,39.4,3363.45,1.739702283014571
5,T0R1,3320,2370.0,950.0,39.4,3363.45,1.739702283014571
6,T0R1,40,3320.0,-3280.0,39.4,3363.45,1.739702283014571
6,T0R1,105,40.0,65.0,39.4,3363.45,1.739702283014571
6,T0R1,305,105.0,200.0,39.4,3363.45,1.739702283014571
6,T0R1,760,305.0,455.0,39.4,3363.45,1.739702283014571
6,T0R1,1200,760.0,440.0,39.4,3363.45,1.739702283014571
6,T0R1,1760,1200.0,560.0,39.4,3363.45,1.739702283014571
6,T0R1,2340,1760.0,580.0,39.4,3363.45,1.739702283014571
6,T0R1,3310,2340.0,970.0,39.4,3363.45,1.739702283014571
7,T0R1,40,3310.0,-3270.0,39.4,3363.45,1.739702283014571
7,T0R1,120,40.0,80.0,39.4,3363.45,1.739702283014571
7,T0R1,330,120.0,210.0,39.4,3363.45,1.739702283014571
7,T0R1,725,330.0,395.0,39.4,3363.45,1.739702283014571
7,T0R1,1320,725.0,595.0,39.4,3363.45,1.739702283014571
7,T0R1,1730,1320.0,410.0,39.4,3363.45,1.739702283014571
7,T0R1,2310,1730.0,580.0,39.4,3363.45,1.739702283014571
7,T0R1,3335,2310.0,1025.0,39.4,3363.45,1.739702283014571
8,T0R1,40,3335.0,-3295.0,39.4,3363.45,1.739702283014571
8,T0R1,120,40.0,80.0,39.4,3363.45,1.739702283014571
8,T0R1,360,120.0,240.0,39.4,3363.45,1.739702283014571
8,T0R1,720,360.0,360.0,39.4,3363.45,1.739702283014571
8,T0R1,1235,720.0,515.0,39.4,3363.45,1.739702283014571
8,T0R1,1700,1235.0,465.0,39.4,3363.45,1.739702283014571
8,T0R1,2350,1700.0,650.0,39.4,3363.45,1.739702283014571
8,T0R1,3350,2350.0,1000.0,39.4,3363.45,1.739702283014571
9,T0R1,40,3350.0,-3310.0,39.4,3363.45,1.739702283014571
9,T0R1,125,40.0,85.0,39.4,3363.45,1.739702283014571
9,T0R1,370,125.0,245.0,39.4,3363.45,1.739702283014571
9,T0R1,730,370.0,360.0,39.4,3363.45,1.739702283014571
9,T0R1,1320,730.0,590.0,39.4,3363.45,1.739702283014571
9,T0R1,1710,1320.0,390.0,39.4,3363.45,1.739702283014571
9,T0R1,2360,1710.0,650.0,39.4,3363.45,1.739702283014571
9,T0R1,3340,2360.0,980.0,39.4,3363.45,1.739702283014571
10,T0R1,40,3340.0,-3300.0,39.4,3363.45,1.739702283014571
1,T0R2,40,,,39.4,3363.45,1.739702283014571
1,T0R2,105,40.0,65.0,39.4,3363.45,1.739702283014571
1,T0R2,370,105.0,265.0,39.4,3363.45,1.739702283014571
1,T0R2,755,370.0,385.0,39.4,3363.45,1.739702283014571
1,T0R2,1305,755.0,550.0,39.4,3363.45,1.739702283014571
1,T0R2,1820,1305.0,515.0,39.4,3363.45,1.739702283014571
1,T0R2,2590,1820.0,770.0,39.4,3363.45,1.739702283014571
1,T0R2,3345,2590.0,755.0,39.4,3363.45,1.739702283014571
2,T0R2,40,3345.0,-3305.0,39.4,3363.45,1.739702283014571
2,T0R2,110,40.0,70.0,39.4,3363.45,1.739702283014571
2,T0R2,360,110.0,250.0,39.4,3363.45,1.739702283014571
2,T0R2,780,360.0,420.0,39.4,3363.45,1.739702283014571
2,T0R2,1215,780.0,435.0,39.4,3363.45,1.739702283014571
2,T0R2,1780,1215.0,565.0,39.4,3363.45,1.739702283014571
2,T0R2,2380,1780.0,600.0,39.4,3363.45,1.739702283014571
2,T0R2,3385,2380.0,1005.0,39.4,3363.45,1.739702283014571
3,T0R2,40,3385.0,-3345.0,39.4,3363.45,1.739702283014571
3,T0R2,120,40.0,80.0,39.4,3363.45,1.739702283014571
3,T0R2,395,120.0,275.0,39.4,3363.45,1.739702283014571
3,T0R2,750,395.0,355.0,39.4,3363.45,1.739702283014571
3,T0R2,1245,750.0,495.0,39.4,3363.45,1.739702283014571
3,T0R2,1770,1245.0,525.0,39.4,3363.45,1.739702283014571
3,T0R2,2610,1770.0,840.0,39.4,3363.45,1.739702283014571
3,T0R2,3330,2610.0,720.0,39.4,3363.45,1.739702283014571
4,T0R2,40,3330.0,-3290.0,39.4,3363.45,1.739702283014571
4,T0R2,125,40.0,85.0,39.4,3363.45,1.739702283014571
4,T0R2,360,125.0,235.0,39.4,3363.45,1.739702283014571
4,T0R2,840,360.0,480.0,39.4,3363.45,1.739702283014571
4,T0R2,1200,840.0,360.0,39.4,3363.45,1.739702283014571
4,T0R2,1750,1200.0,550.0,39.4,3363.45,1.739702283014571
4,T0R2,2410,1750.0,660.0,39.4,3363.45,1.739702283014571
4,T0R2,3390,2410.0,980.0,39.4,3363.45,1.739702283014571
5,T0R2,40,3390.0,-3350.0,39.4,3363.45,1.739702283014571
5,T0R2,125,40.0,85.0,39.4,3363.45,1.739702283014571
5,T0R2,355,125.0,230.0,39.4,3363.45,1.739702283014571
5,T0R2,76,355.0,-279.0,39.4,3363.45,1.739702283014571
5,T0R2,1295,76.0,1219.0,39.4,3363.45,1.739702283014571
5,T0R2,1700,1295.0,405.0,39.4,3363.45,1.739702283014571
5,T0R2,2340,1700.0,640.0,39.4,3363.45,1.739702283014571
5,T0R2,3395,2340.0,1055.0,39.4,3363.45,1.739702283014571
